NO_SEQ,NO_ENTRE_1,NOM_PUITS,ANNEE,REGION_GEO,LATITUDE_X,LATITUDE_1,LONGITUDE_,LONGITUDE1,PROFONDEUR,TYPE_PUITS,SYMBOLOGIE,F1,Number,Name,MERN_status,Year_of_drilling,Year_of_suspension,Year_of_abandon,Latitude,Longitude,Administrative_region,Geological_region,Type_of_drill,Deepest_casing_base__m_sol_ou_m,Geology_from_end_of_last_casing,Operator,Type,Plugging_status,Ground_elevation__m_mer_,Depth__m_sol_or_m_KB_,Link_to_inspection_report,Link_to_SIGPEG,ObjectID,geometry
400,B043,"Laduboro Verchvres Saint-Pierre No 9a, Pointe-du-Lac",1961,(B) Basses-Terres (sols non consolidas),"46) 18' 13,4""",46.3037,"-72  41' 26,1""",-72.6906,90 pi/sol,Puits d'exploration oWildcatc,Ferms d'finitivement,194,B043,"Laduboro Verchères Saint-Pierre No 9a, Pointe-du-Lac",Non-Problematic,1961,N.D.,1961,46.304,-72.6913,Mauricie,B-Basses-Terres (sols non consolidés),Rotary,17.0688,"Clay, sand",Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,None,Plugged,27.7368,27.432,https://sigpeg.mrn.gouv.qc.ca/rapport/P_B043_inspection_2018-10-29_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=B043,289,POINT (-72.69060000028975 46.30369999995509)
401,B044,"Laduboro Verchvres Saint-Pierre No 10, Pointe-du-Lac",1961,(B) Basses-Terres (sols non consolid0s),"46) 17' 43,0""",46.2953,"-72  43' 20,7""",-72.7224,326 pi/sol,Puits d'exploration oWildcatc,Ferms d'finitivement,69,B044,"Laduboro Verchères Saint-Pierre No 10, Pointe-du-Lac",Non-Locatable,1961,N.D.,1963,46.2946277,-72.7219364,Mauricie,B-Basses-Terres (sols non consolidés),Rotary,99.06,Shale,Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,Gas,Plugged,6.7056,99.3648,https://sigpeg.mrn.gouv.qc.ca/rapport/B044_insp_inactif_2019-09-04_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=B044,635,POINT (-72.72239999995998 46.29530000019491)
402,B045,"Laduboro Verchvres Saint-Pierre No 11, Pointe-du-Lac",1961,(B) Basses-Terres (sols non consolid1s),"46) 17' 48,6""",46.2968,"-72  44' 9,3""",-72.7359,310 pi/sol,Puits d'exploration oWildcatc,Ferms d'finitivement,195,B045,"Laduboro Verchères Saint-Pierre No 11, Pointe-du-Lac",Non-Problematic,1961,N.D.,1961,46.29677139,-72.73586472,Mauricie,B-Basses-Terres (sols non consolidés),Rotary,60.0456,"Shale, clay, sand, gravel",Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,Gas,Plugged,7.9248,94.488,https://sigpeg.mrn.gouv.qc.ca/rapport/P_B045_inspection_2018-10-23_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=B045,290,POINT (-72.73590000018481 46.29680000011996)
403,B046,"Laduboro Verchvres Saint-Pierre No 11a, Pointe-du-Lac",1961,(B) Basses-Terres (sols non consolid1s),"46) 17' 48""",46.2967,"-72  44' 8,4""",-72.7357,161 pi/sol,Puits d'exploration oWildcatc,Ferms d'finitivement,32,B046,"Laduboro Verchères Saint-Pierre No 11a, Pointe-du-Lac",Work/Repairs Needed,1961,N.D.,1983,46.29667,-72.73567,Mauricie,B-Basses-Terres (sol non cosolidés),Rotary,38.4048,Clay,Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,Gas,Plugged,7.9248,49.0728,https://sigpeg.mrn.gouv.qc.ca/rapport/B046_insp_inactif_2019-09-20_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=B046,32,POINT (-72.73569999995499 46.29670000000505)
404,B047,"Laduboro Verchvres Saint-Pierre No 11b, Pointe-du-Lac",1961,(B) Basses-Terres (sols non consolid1s),"46) 17' 47,7""",46.2966,"-72  44' 10,2""",-72.7362,259 pi/---,Puits d'exploration oWildcatc,Ferms d'finitivement,196,B047,"Laduboro Verchères Saint-Pierre No 11b, Pointe-du-Lac",Non-Problematic,1961,N.D.,1961,46.29654833,-72.73609333,Mauricie,B-Basses-Terres (sols non consolidés),Rotary,74.676,N.D.,Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,None,Plugged,7.9248,78.9432,https://sigpeg.mrn.gouv.qc.ca/rapport/P_B047_inspection_2018-10-29_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=B047,291,POINT (-72.73619999963023 46.29659999989013)
405,B048,"Laduboro Verchvres Saint-Pierre No 12, Pointe-du-Lac",1961,(B) Basses-Terres (sols non consolid2s),"46) 17' 17,3""",46.2881,"-72  41' 39""",-72.6942,258 pi/sol,Puits d'exploration oWildcatc,Ferms d'finitivement,197,B048,"Laduboro Verchères Saint-Pierre No 12, Pointe-du-Lac",Non-Problematic,1961,N.D.,1963,46.28820028,-72.69406028,Mauricie,B-Basses-Terres (sols non consolidés),Rotary,74.676,"Shale, clay, sand",Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,None,Plugged,9.7536,78.6384,https://sigpeg.mrn.gouv.qc.ca/rapport/P_B048_inspection_2018-10-24_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=B048,292,POINT (-72.69419999992999 46.28810000001505)
406,B049,"Laduboro Verchvres Saint-Pierre No 13, Pointe-du-Lac",1961,(B) Basses-Terres (sols non consolid3s),"46) 18' 22,4""",46.3062,"-72  44' 36,5""",-72.7435,325 pi/sol,Puits d'exploration oWildcatc,Ferms d'finitivement,198,B049,"Laduboro Verchères Saint-Pierre No 13, Pointe-du-Lac",Non-Problematic,1961,N.D.,1961,46.3056098,-72.7443831,Mauricie,B-Basses-Terres (sols non consolidés),Rotary,32.004,"Limestone, clay, sand",Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,None,Plugged,16.764,99.06,https://sigpeg.mrn.gouv.qc.ca/rapport/B049_insp_inactif_2019-10-30_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=B049,293,POINT (-72.74349999992501 46.30620000012993)
407,B050,"Laduboro Verchvres Saint-Pierre No 14, Pointe-du-Lac",1961,(B) Basses-Terres (sols non consolid4s),"46) 17' 53,2""",46.2981,"-72  42' 29,3""",-72.7081,255 pi/sol,Puits d'exploration oWildcatc,Ferms d'finitivement,199,B050,"Laduboro Verchères Saint-Pierre No 14, Pointe-du-Lac",Non-Problematic,1961,N.D.,1992,46.2981,-72.7081,Mauricie,B-Basses-Terres (sols non consolidés),Rotary,69,"Shale, clay, sand",Corp. des gaz et pét. (1961); Intragaz (1992),Gas,Plugged,15.8496,77.724,https://sigpeg.mrn.gouv.qc.ca/rapport/P_B050_inspection_2018-07-25_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=B050,294,POINT (-72.70809999971516 46.29809999981518)
409,B052,"Laduboro Verchvres Saint-Pierre No 16, Pointe-du-Lac",1961,(B) Basses-Terres (sols non consolid6s),"46) 18' 18,4""",46.3051,"-72  42' 16,0""",-72.7044,278 pi/sol,Puits d'exploration oWildcatc,Ferms d'finitivement,200,B052,"Laduboro Verchères Saint-Pierre No 16, Pointe-du-Lac",Non-Problematic,1961,N.D.,1992,46.3051,-72.7044,Mauricie,B-Basses-Terres (sols non consolidés),Rotary,78,"Shale, clay, sand",Corp. des gaz et pét. (1961); Intragaz (1992),Gas,Plugged,23.1648,84.7344,https://sigpeg.mrn.gouv.qc.ca/rapport/P_B052_inspection_2018-07-26_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=B052,295,POINT (-72.70439999996 46.30509999976522)
410,B053,"Laduboro Verchvres Saint-Pierre No 17, Pointe-du-Lac",1961,(B) Basses-Terres (sols non consolid7s),"46) 18' 54,9""",46.3153,"-72  42' 27,8""",-72.7077,350 pi/sol,Puits d'exploration oWildcatc,Ferms d'finitivement,201,B053,"Laduboro Verchères Saint-Pierre No 17, Pointe-du-Lac",Non-Problematic,1961,N.D.,1963,46.31524972,-72.70759083,Mauricie,B-Basses-Terres (sols non consolidés),Rotary,58.2168,"Shale, clay, sand, gravel",Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,None,Plugged,39.3192,106.68,https://sigpeg.mrn.gouv.qc.ca/rapport/P_B053_inspection_2018-10-30_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=B053,296,POINT (-72.70770000015483 46.31529999979523)
413,B055,"Laduboro Verchrres Saint-Pierre No 19, Pointe-du-Lac",1961,(B) Basses-Terres (sols non consolid9s),"46) 19' 9,4""",46.3193,"-72  43' 15,5""",-72.721,375 pi/sol,Puits d'exploration oWildcatc,Ferms d'finitivement,202,B055,"Laduboro Verchères Saint-Pierre No 19, Pointe-du-Lac",Non-Problematic,1961,N.D.,1963,46.31928,-72.72097,Mauricie,B-Basses-Terres (sols non consolidés),Rotary,63.0936,"Shale, clay",Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,None,Plugged,43.8912,114.3,https://sigpeg.mrn.gouv.qc.ca/rapport/B055_insp_inactif_2019-05-23_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=B055,297,POINT (-72.72100000014984 46.31929999989512)
414,B056,"Laduboro Verchvres Saint-Pierre No 20, Pointe-du-Lac",1961,(B) Basses-Terres (sols non consolid0s),"46) 18' 30,8""",46.3086,"-72  41' 37,3""",-72.6937,0 pi/---,---,Ferm/ d-finitivement,203,B056,"Laduboro Verchères Saint-Pierre No 20, Pointe-du-Lac",Non-Problematic,1961,N.D.,1992,46.30829194,-72.69393222,Mauricie,B-Basses-Terres (sols non consolidés),Rotary,67.9704,"Shale, clay, sand",Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,Gas,Plugged,43.8912,103.632,https://sigpeg.mrn.gouv.qc.ca/rapport/P_B056_inspection_2018-07-26_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=B056,298,POINT (-72.69370000025475 46.30860000018993)
417,B058,"Laduboro Verchares Saint-Pierre No 1, Yamachiche",1961,"(B) Basses-Terres (sols non consolid,s)","46) 17' 56,7""",46.2991,"-72  49' 42""",-72.8283,276 pi/sol,Puits d'exploration oWildcatc,Ferms d'finitivement,204,B058,"Laduboro Verchères Saint-Pierre No 1, Yamachiche",Non-Problematic,1961,N.D.,1963,46.2991625,-72.82826611,Mauricie,B-Basses-Terres (sols non consolidés),Rotary,64.6176,"Shale, clay, sand, gravel",Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,Gas,Plugged,,84.1248,https://sigpeg.mrn.gouv.qc.ca/rapport/P_B058_inspection_2018-09-18_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=B058,299,POINT (-72.82830000024478 46.29910000006498)
418,B059,"Laduboro Verchvres Saint-Pierre No 2, Yamachiche",1961,"(B) Basses-Terres (sols non consolid,s)","46) 16' 3,7""",46.2677,"-72  49' 17,8""",-72.8216,324 pi/sol,Puits d'exploration oWildcatc,Ferms d'finitivement,33,B059,"Laduboro Verchères Saint-Pierre No 2, Yamachiche",Work/Repairs Needed,1961,N.D.,1983,46.2677,-72.82162,Mauricie,B-Basses-Terres (sol non cosolidés),Rotary,82.9056,"Clay, sand, limestone, gravel",Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,Gas,Unplugged,6.4008,98.7552,https://sigpeg.mrn.gouv.qc.ca/rapport/B059_insp_inactif_2019-07-18_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=B059,33,POINT (-72.82159999974016 46.26769999995508)
419,B060,"Laduboro Verchvres Saint-Pierre No 4, Yamachiche",1961,"(B) Basses-Terres (sols non consolid,s)","46) 18' 57,2""",46.3159,"-72  49' 3,2""",-72.8176,264 pi/sol,Puits d'exploration oWildcatc,Ferms d'finitivement,34,B060,"Laduboro Verchères Saint-Pierre No 4, Yamachiche",Work/Repairs Needed,1961,N.D.,1963,46.31589,-72.81755,Mauricie,B-Basses-Terres (sol non cosolidés),Rotary,32.004,"Shale, sand, gravel",Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,Gas,Plugged,15.8496,80.4672,https://sigpeg.mrn.gouv.qc.ca/rapport/B060_insp_inactif_2019-07-18_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=B060,34,POINT (-72.81759999964021 46.31589999958538)
420,B061,"Laduboro Verchvres Saint-Pierre No 5, Yamachiche",1961,"(B) Basses-Terres (sols non consolid,s)","46) 19' 30,5""",46.3251,"-72  48' 8,8""",-72.8024,330 pi/sol,Puits d'exploration oWildcatc,Ferms d'finitivement,205,B061,"Laduboro Verchères Saint-Pierre No 5, Yamachiche",Non-Problematic,1961,N.D.,1963,46.32514444,-72.80247222,Mauricie,B-Basses-Terres (sols non consolidés),Rotary,30.1752,"Shale, clay, sand, gravel",Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,None,Plugged,30.7848,100.584,https://sigpeg.mrn.gouv.qc.ca/rapport/P_B061_inspection_2018-09-19_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=B061,300,POINT (-72.80240000015982 46.32510000026485)
421,B062,"Eastern Canada Gas & Oil No 8, Saint-Athanase",1958,(B) Basses-Terres (sols non consolid-s),"45) 16' 12,1""",45.27,"-73  14' 25,5""",-73.2404,192 pi/sol,Puits d'exploration oWildcatc,Ferms d'finitivement,70,B062,"Eastern Canada Gas & Oil No 8, Saint-Athanase",Non-Locatable,1958,N.D.,1958,45.2701262,-73.2397067,Montérégie,B-Basses-Terres (sols non consolidés),N.D.,57.3024,Shale,Canadian Eastern Oil & Gas Drilling Ltd.,None,Plugged,,58.5216,https://sigpeg.mrn.gouv.qc.ca/rapport/B062_insp_inactif_2019-10-10_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=B062,636,POINT (-73.24039999986007 45.27000000009997)
422,B063,G0linas No 1,1954,(B) Basses-Terres (sols non consolid-s),"46) 21' 25,8""",46.3572,"-72  28' 10,2""",-72.4695,315 pi/sol,Puits d'exploration oWildcatc,Ferms d'finitivement,206,B063,Gélinas No 1,Non-Problematic,1954,N.D.,N.D.,46.35716,-72.4695,Centre-du-Québec,B-Basses-Terres (sols non consolidés),Core drilling,N.D.,"Sandstone, shale",Germain Gélinas,None,Unplugged,,96.012,https://sigpeg.mrn.gouv.qc.ca/rapport/B063_insp_inactif_2019-05-08_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=B063,301,POINT (-72.46949999982508 46.35720000027982)
423,B064,"Sweet Grass, Yamachiche No 1",1955,(B) Basses-Terres (sols non consolid-s),"46) 18' 1,4""",46.3004,"-72  49' 47,5""",-72.8299,464 pi/sol,Puits d'exploration oWildcatc,Ferms d'finitivement,207,B064,"Sweet Grass, Yamachiche No 1",Non-Problematic,1955,N.D.,1955,46.299503,-72.828549,Mauricie,B-Basses-Terres (sols non consolidés),Cable,141.4272,N.D.,Great Sweet Grass Oils Ltd.,Gas,Unplugged,,141.4272,https://sigpeg.mrn.gouv.qc.ca/rapport/P_B064_inspection_2018-09-07_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=B064,302,POINT (-72.82990000028474 46.30039999976026)
424,B065,"Canso Intercity, Pointe-du-Lac No 1",1956,(B) Basses-Terres (sols non consolid-s),"46) 17' 18,7""",46.2885,"-72  40' 59,6""",-72.6832,180 pi/sol,Puits d'exploration oWildcatc,Ferms d'finitivement,71,B065,"Canso Intercity, Pointe-du-Lac No 1",Non-Locatable,1956,N.D.,1956,46.2885492,-72.683235,Mauricie,B-Basses-Terres (sols non consolidés),Rotary,N.D.,N.D.,Canso Natural Gas Ltd.,None,Unplugged,15.8496,54.864,https://sigpeg.mrn.gouv.qc.ca/rapport/B065_insp_inactif_2019-06-11_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=B065,637,POINT (-72.68319999988006 46.28849999957538)
425,B066,"Canso Intercity, Pointe-du-Lac No 2",1956,(B) Basses-Terres (sols non consolid-s),"46) 17' 34""",46.2928,"-72  37' 57,8""",-72.6327,405 pi/sol,Puits d'exploration oWildcatc,Ferms d'finitivement,208,B066,"Canso Intercity, Pointe-du-Lac No 2",Non-Problematic,1956,N.D.,1956,46.29278,-72.63271,Mauricie,B-Basses-Terres (sols non consolidés),Rotary,143,N.D.,Canso Natural Gas Ltd.,None,Plugged,9.144,123.444,https://sigpeg.mrn.gouv.qc.ca/rapport/B066_insp_inactif_2019-05-23_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=B066,303,POINT (-72.63270000030474 46.29280000002007)
426,B067,"Canso Intercity, Sainte-Anne No 1",1956,(B) Basses-Terres (sols non consolid-s),"46) 16' 16,8""",46.2713,"-72  48' 3""",-72.8008,405 pi/sol,Puits d'exploration oWildcatc,Ferms d'finitivement,209,B067,"Canso Intercity, Sainte-Anne No 1",Non-Problematic,1956,N.D.,1957,46.27129,-72.80084306,Mauricie,B-Basses-Terres (sols non consolidés),Rotary,111.8616,N.D.,Canso Natural Gas Ltd.,None,Unplugged,10.3632,123.444,https://sigpeg.mrn.gouv.qc.ca/rapport/P_B067_inspection_2018-08-31_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=B067,304,POINT (-72.80080000011986 46.27129999959539)
427,B068,"Canso Intercity, Sainte-Anne No 2",1956,(B) Basses-Terres (sols non consolid-s),"46) 17' 32,3""",46.2923,"-72  44' 57,5""",-72.7493,330 pi/sol,Puits d'exploration oWildcatc,Ferms d'finitivement,210,B068,"Canso Intercity, Sainte-Anne No 2",Non-Problematic,1956,N.D.,1983,46.29227444,-72.74931361,Mauricie,B-Basses-Terres (sols non consolidés),Rotary,94.7928,N.D.,Canso Natural Gas Ltd.,Gas,Plugged,6.096,100.584,https://sigpeg.mrn.gouv.qc.ca/rapport/P_B068_inspection_2018-10-29_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=B068,305,POINT (-72.74930000029474 46.29230000034477)
428,B069,"Canso Intercity, Sainte-Anne No 3",1957,(B) Basses-Terres (sols non consolid-s),"46) 17' 58,1""",46.2995,"-72  46' 04,4""",-72.7679,346 pi/sol,Puits d'exploration oWildcatc,Ferms d'finitivement,72,B069,"Canso Intercity, Sainte-Anne No 3",Non-Locatable,1957,N.D.,1957,46.2993899,-72.7696526,Mauricie,B-Basses-Terres (sols non consolidés),Rotary,N.D.,Shale,Canso Natural Gas Ltd.,None,Plugged,10.668,105.4608,https://sigpeg.mrn.gouv.qc.ca/rapport/B069_insp_inactif_2019-06-05_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=B069,638,POINT (-72.76790000008492 46.29949999962531)
429,B070,"Canso Intercity, Trois-Rivitres No 1",1956,(B) Basses-Terres (sols non consolid,"46) 18' 30,1""",46.3084,"-72  34' 31,4""",-72.5754,405 pi/sol,Puits d'exploration oWildcatc,Ferms d'finitivement,73,B070,"Canso Intercity, Trois-Rivières No 1",Non-Locatable,1956,N.D.,1957,46.3087705,-72.5759224,Mauricie,B-Basses-Terres (sols non consolidés),Rotary,80.1624,N.D.,Canso Natural Gas Ltd.,Gas,Plugged,6.7056,123.444,https://sigpeg.mrn.gouv.qc.ca/rapport/B070_insp_inactif_2019-05-23_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=B070,639,POINT (-72.57540000010988 46.3083999999601)
430,B071,"Laduboro Seaway Almega No 1, Champlain",1961,(B) Basses-Terres (sols non consolidis),"46) 28' 30""",46.475,"-72  20' 40,4""",-72.3446,416 pi/sol,Puits d'exploration oWildcatc,Ferms d'finitivement,211,B071,"Laduboro Seaway Almega No 1, Champlain",Non-Problematic,1961,N.D.,1961,46.47508222,-72.34537889,Mauricie,B-Basses-Terres (sols non consolidés),Rotary,31.6992,"Clay, gravel",Laduboro Oil Ltd.,None,Plugged,,126.7968,https://sigpeg.mrn.gouv.qc.ca/rapport/P_B071_inspection_2018-11-08_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=B071,306,POINT (-72.34460000018981 46.47499999985018)
431,B072,"Laduboro Seaway Almega No 2, Champlain",1961,(B) Basses-Terres (sols non consolidis),"46) 28' 8,2""",46.4689,"-72  20' 11,3""",-72.3365,457 pi/sol,Puits d'exploration oWildcatc,Ferms d'finitivement,212,B072,"Laduboro Seaway Almega No 2, Champlain",Non-Problematic,1961,N.D.,1963,46.46894,-72.33646,Mauricie,B-Basses-Terres (sols non consolidés),Rotary,19.812,"Clay, sand, sandstone, gravel",Laduboro Oil Ltd.,None,Plugged,,139.2936,https://sigpeg.mrn.gouv.qc.ca/rapport/B072_insp_inactif_2019-07-25_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=B072,307,POINT (-72.33649999987506 46.46890000003503)
432,B073,"Laduboro Seaway Almega No 3, Champlain",1961,(B) Basses-Terres (sols non consolidis),"46) 26' 43,7""",46.4455,"-72  24' 20""",-72.4056,457 pi/sol,Puits d'exploration oWildcatc,Ferms d'finitivement,35,B073,"Laduboro Seaway Almega No 3, Champlain",Work/Repairs Needed,1961,N.D.,1963,46.44548,-72.40555,Mauricie,B-Basses-Terres (sol non cosolidés),Rotary,20.4216,"Clay, sand, gravel, shale, siltstone",Laduboro Oil Ltd.,None,Plugged,19.5072,139.2936,https://sigpeg.mrn.gouv.qc.ca/rapport/B073_insp_inactif_2019-08-01_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=B073,35,POINT (-72.40560000013983 46.44550000012498)
433,B074,"Laduboro Seaway Almega No 4, Champlain",1961,(B) Basses-Terres (sols non consolidis),"46) 26' 31,5""",46.4421,"-72  24' 2,8""",-72.4008,457 pi/sol,Puits d'exploration oWildcatc,Ferms d'finitivement,213,B074,"Laduboro Seaway Almega No 4, Champlain",Non-Problematic,1961,N.D.,1963,46.44197222,-72.40066667,Mauricie,B-Basses-Terres (sols non consolidés),Rotary,20.4216,"Clay, sandstone, siltstone",Laduboro Oil Ltd.,None,Plugged,24.6888,139.2936,https://sigpeg.mrn.gouv.qc.ca/rapport/P_B074_inspection_2018-10-08_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=B074,308,POINT (-72.40080000001996 46.44209999981518)
434,B075,Calbec No 1,1957,(B) Basses-Terres (sols non consolidis),"46) 18' 8,6""",46.3024,"-72  49' 57""",-72.8325,308 pi/sol,Puits d'exploration oWildcatc,Ferms d'finitivement,214,B075,Calbec No 1,Non-Problematic,1957,N.D.,1957,46.30237,-72.832507,Mauricie,B-Basses-Terres (sols non consolidés),Rotary,42.672,N.D.,Louiseville Gas & Oil Ltd.,Gas,Plugged,,93.8784,https://sigpeg.mrn.gouv.qc.ca/rapport/P_B075_inspection_2018-09-07_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=B075,309,POINT (-72.83249999967518 46.30240000025987)
435,B076,Calbec No 3,1957,(B) Basses-Terres (sols non consolidis),"46) 17' 48,6""",46.2968,"-72  43' 46,3""",-72.7295,416 pi/sol,Puits d'exploration oWildcatc,Ferms d'finitivement,215,B076,Calbec No 3,Non-Problematic,1957,N.D.,1957,46.29585972,-72.72894861,Mauricie,B-Basses-Terres (sols non consolidés),Rotary,6.4008,N.D.,Louiseville Gas & Oil Ltd.,Gas,Plugged,,126.7968,https://sigpeg.mrn.gouv.qc.ca/rapport/P_B076_inspection_2018-09-26_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=B076,310,POINT (-72.72950000002493 46.29680000011996)
436,B077,Calbec No 4,1957,(B) Basses-Terres (sols non consolidis),"46) 17' 50,4""",46.2973,"-72  48' 2,9""",-72.8008,340 pi/sol,Puits d'exploration oWildcatc,Ferms d'finitivement,216,B077,Calbec No 4,Non-Problematic,1957,N.D.,1957,46.29669444,-72.80094444,Mauricie,B-Basses-Terres (sols non consolidés),Rotary,85.344,N.D.,Louiseville Gas & Oil Ltd.,Gas,Plugged,,103.632,https://sigpeg.mrn.gouv.qc.ca/rapport/P_B077_inspection_2018-09-18_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=B077,311,POINT (-72.80080000011986 46.2972999997952)
